time_s,gforce_x,gforce_y,gforce_z
2.06443469,0.329,-0.0887,1.0573
2.074820767,0.2565,-0.0007,0.921
2.08737196,0.3282,-0.117,0.9704
2.09506146,0.2728,-0.0068,0.9651
2.110286575,0.3331,-0.0858,1.0275
2.115233883,0.2812,-0.0089,0.8054
2.127652575,0.3127,-0.1022,1.0756
2.134884383,0.3197,-0.0869,0.9679
2.144980844,0.2621,-0.0001,0.8618
2.154632383,0.3608,-0.1306,1.1298
2.164483921,0.2345,-0.0139,0.8466
2.174622575,0.3682,-0.0776,0.9742
2.190835383,0.2884,-0.0589,0.9651
2.195068421,0.275,-0.0794,1.1109
2.205001536,0.4825,-0.0425,0.9882
2.21522446,0.8284,-0.1827,1.3753
2.229200113,0.1268,0.1151,0.6273
2.239520306,1.1782,0.0193,1.359
2.253488959,1.1782,0.0193,1.461
2.25784169,-0.0702,-0.3269,1.461
2.264845613,-0.1631,0.0581,0.8041
2.277837959,0.0588,-0.1542,1.5607
2.291768883,0.1406,-0.0586,0.9626
2.295229921,0.1281,0.0225,0.6553
2.304849844,0.148,-0.2078,1.4005
2.314765652,0.4758,-0.0652,1.0067
2.324751959,0.4494,0.0364,0.6499
2.337017806,0.118,-0.1952,1.0971
2.344730806,0.3635,0.007,1.117
2.356462613,0.5942,-0.0938,1.1948
2.364750229,0.2475,-0.1096,0.905
2.374743267,0.4269,-0.0513,0.8626
2.387065652,0.3937,-0.0034,0.7412
2.395007075,0.2923,-0.0105,0.8555
2.406458344,0.2254,-0.0903,1.2398
2.414881613,0.0783,-0.0335,0.7297
2.427185536,0.278,-0.0948,1.127
2.448568306,0.3268,-0.1019,1.0307
2.451847575,0.2963,-0.0845,0.9779
2.454375767,0.2601,0.0162,0.838
2.464405113,0.2675,-0.0662,1.1599
2.47520869,0.4088,0.0415,0.809
2.486965075,0.3218,0.007,0.9943
2.494608767,0.1964,-0.0701,0.9996
2.504944305,0.2645,-0.0237,0.9151
2.514532959,0.3525,-0.0801,1.0475
2.524523998,0.2586,-0.0803,0.9118
2.536967152,0.3049,-0.1356,1.0804
2.54486419,0.2391,-0.0425,0.8121
2.555333959,0.2403,-0.0619,0.9312
2.564794652,0.4097,-0.05,1.1549
2.574965228,0.229,0.0322,0.7252
2.58637069,0.242,-0.0453,1.1197
2.595329421,0.3296,0.0148,0.9174
2.60492819,0.2709,-0.0552,1.007
2.615370382,0.2613,0.0158,0.945
2.627766959,0.3402,-0.0715,1.0095
2.646456267,0.2402,-0.0503,0.9229
2.648111959,0.3458,-0.0518,0.9663
2.658870882,0.4092,-0.068,0.9023
2.66474719,0.2472,-0.0956,0.929
2.674610536,0.2604,-0.0579,1.0292
2.689826651,0.2693,-0.0364,0.8231
2.694384805,0.2885,-0.1215,1.1258
2.704570228,0.2424,-0.0156,0.9083
2.714894805,0.2386,-0.0193,0.9561
2.724929075,0.3335,-0.0613,1.0639
2.747011651,0.2449,-0.0748,0.7928
2.748481421,0.4233,0.0056,1.1068
2.75763169,0.273,-0.0502,0.839
2.765385421,0.2444,-0.116,0.9637
2.77472619,0.4007,-0.0188,1.0983
2.786372344,0.2322,-0.0353,0.8009
2.794614074,0.3856,-0.1258,1.1776
2.804344844,0.3428,-0.005,0.875
2.814884344,0.3237,-0.1041,0.932
2.826942613,0.3825,0.0167,0.905
2.841111267,0.3403,-0.0921,1.0111
2.844847728,0.3933,-0.0086,0.8702
2.854540267,0.2891,-0.103,0.8708
2.864550728,0.4084,-0.0858,1.0985
2.874619574,0.3112,0.0026,0.8594
2.886756459,0.347,-0.1049,1.0752
2.894975613,0.3119,-0.0341,0.8863
2.905881728,0.3566,-0.0241,0.8941
2.914864844,0.4428,-0.0827,1.0291
2.929408036,0.2981,-0.0481,0.8709
2.95501969,0.265,-0.075,0.7193
2.95778319,0.408,-0.0815,1.0187
2.964914421,0.4769,-0.0467,1.0059
2.974573921,0.2452,-0.092,0.8081
2.987190574,0.4457,-0.0717,1.0685
2.994452267,0.3036,0.0171,0.8658
3.005062151,0.3823,-0.1138,0.9685
3.014489574,0.4222,-0.0115,0.9375
3.025522113,0.3089,-0.1171,0.9634
3.039667536,0.3582,0.0159,0.8618
