time_s	gforce_x	gforce_y	gforce_z
121.212511	0.1798	0.176	0.8573
121.2129192	0.0488	0.2894	0.4527
121.2136173	-0.1056	0.1252	0.9257
121.21424	-0.2658	-0.0527	1.4964
121.2147434	-0.088	0.0197	0.6911
121.2151406	0.0723	-0.0507	1.082
121.2155158	0.0312	0.0842	0.9667
121.2158828	0.0899	0.1311	0.5055
121.2214203	-0.0587	0.1467	0.7986
121.2224426	-0.0958	-0.0722	1.1426
121.2271865	-0.1857	-0.0956	0.9843
121.2313882	-0.1759	-0.1035	1.3791
121.2347984	0.086	0.0607	0.7752
121.2391094	0.3068	0.006	0.9863
121.2433079	0.2853	0.0705	1.1231
121.2472501	0.215	0.2366	0.955
121.2504401	0.2775	0.1193	0.7908
121.2548634	0.0391	0.1213	1.299
121.2587284	-0.3401	-0.0253	1.727
121.263725	-0.3225	0.0451	0.9745
121.2673723	-0.2131	0.1506	1.0566
121.2786469	-0.0606	0.2307	0.7478
121.2796968	0.0391	0.1037	0.5328
121.2803294	-0.088	0.0607	1.0918
121.2828415	0.0488	0.1291	1.0723
121.3414478	0.2501	0.1545	1.0429
121.3422656	0.2794	0.1174	1.1837
121.3428316	0.2462	0.1057	1.3615
121.3433298	0.2423	0.0588	0.8612
121.3438694	-0.0528	-0.0057	0.74
121.3442874	-0.1818	-0.082	1.1934
121.344638	0.0449	0.1447	0.5797
121.344994	0.1661	0.135	0.781
121.3453676	0.211	0.0978	1.0664
121.3457301	0.3146	0.0158	0.8827
121.3461194	0.3479	-0.1738	1.2364
121.346601	-0.0567	-0.1484	1.1622
121.3470981	-0.2776	0.0568	0.6579
121.3474815	-0.5414	0.1076	1.3029
121.3478106	-0.2639	0.2698	1.2482
121.3481344	0.0469	0.3304	0.6911
121.3516681	0.1837	0.0021	0.7146
121.3548443	0.2482	-0.0878	0.5113
121.3591781	0.1016	-0.0155	0.8279
121.3637915	0.1309	-0.0331	1.4026
121.3676245	0.213	-0.0018	1.0234
121.3746534	0.1954	0.1487	1.1446
121.3754614	0.2032	0.1057	1.1192
121.3790775	0.1446	0.1487	0.8827
121.3836182	0.1211	-0.037	1.0234
121.418885	-0.0137	-0.1113	0.8377
121.4197285	-0.086	0.0118	1.0723
121.4203571	-0.1056	0.2268	1.0097
121.4208782	-0.2893	0.3812	1.2872
121.4212854	-0.043	0.2562	1.1563
121.4219651	0.1172	-0.037	1.1094
121.4223882	0.1544	-0.1093	1.0742
121.4229517	0.1426	-0.0468	0.6403
121.4234369	0.1114	0.0998	0.9706
121.4238928	0.0625	0.178	0.9941
121.4276708	0.1094	0.1838	0.7263
121.4320921	0.17	-0.0702	1.0293
121.4374328	0.2716	-0.168	1.125
121.4402238	0.1856	0.0079	0.953
121.4444691	0.0606	0.0959	1.0762
121.4480757	0.0332	0.305	1.0332
121.4515283	-0.0958	0.4145	1.1231
121.4577328	-0.0665	0.3285	1.2091
121.4595131	0.0039	0.2933	0.9237
121.464195	0.0664	0.1154	0.7967
121.4683809	0.0293	-0.0272	0.9335
121.4767038	-0.0528	0.1213	1.1524
121.4776927	0.0039	0.2913	1.041
121.4793393	0.1348	0.2757	0.7537
121.4841315	0.1231	-0.0155	1.1876
121.525037	0.0801	-0.1171	0.8964
121.5259887	0.1348	-0.1406	0.7947
121.526615	0.1407	0.1526	0.7849
121.5272768	0.0879	0.1702	1.0117
121.5277327	0.0293	0.1174	0.8983
121.5281643	-0.0684	-0.1074	0.9413
121.5285796	-0.0059	-0.1719	1.1719
121.5289812	0.041	-0.0136	0.9393
121.5294335	-0.0352	0.1252	0.9823
121.5299774	-0.1114	0.0079	1.0879
121.5305449	-0.1388	-0.0937	0.9921
121.5316627	-0.1681	-0.1132	0.9726
121.5350911	0.0293	0.0373	1.1172
121.5391299	0.2579	0.1526	0.8338
121.5441053	0.4202	0.0646	1.039
121.54815	0.2247	-0.0487	1.1895
