time;gFx;gFy;gFz;wx;wy;wz
1.09;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.096;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.102;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.106;-0.06;0.03;1.0;0.01;-0.02;-0.07
1.111;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.119;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.121;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.126;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.13;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.136;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.14;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.146;-0.06;0.03;1.0;0.01;-0.02;-0.08
1.161;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.163;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.163;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.175;-0.06;0.03;1.0;0.01;-0.01;-0.09
1.177;-0.06;0.03;1.0;0.02;-0.01;-0.1
1.179;-0.06;0.03;1.0;0.02;-0.01;-0.1
1.182;-0.06;0.03;1.0;0.02;-0.01;-0.1
1.186;-0.06;0.03;1.0;0.02;-0.01;-0.1
1.191;-0.06;0.03;1.0;0.02;-0.01;-0.1
1.196;-0.06;0.03;0.99;0.02;-0.01;-0.1
1.202;-0.06;0.03;0.99;0.02;-0.01;-0.1
1.206;-0.06;0.03;0.99;0.02;-0.01;-0.1
1.21;-0.06;0.03;0.99;0.02;-0.02;-0.11
1.216;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.22;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.226;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.23;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.236;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.24;-0.06;0.03;1.0;0.02;-0.02;-0.11
1.246;-0.06;0.03;0.99;0.02;-0.02;-0.11
1.261;-0.06;0.03;0.99;0.02;-0.02;-0.11
1.263;-0.06;0.03;0.99;0.02;-0.02;-0.11
1.265;-0.06;0.03;0.99;0.01;-0.03;-0.12
1.268;-0.06;0.03;0.99;0.01;-0.03;-0.12
1.277;-0.06;0.03;0.99;0.01;-0.03;-0.12
1.279;-0.06;0.03;1.0;0.01;-0.03;-0.12
1.281;-0.06;0.03;1.0;0.01;-0.03;-0.12
1.292;-0.07;0.03;1.0;0.01;-0.03;-0.12
1.293;-0.07;0.03;1.0;0.01;-0.02;-0.12
1.296;-0.07;0.03;1.01;0.01;-0.02;-0.12
1.302;-0.07;0.03;1.01;0.02;-0.01;-0.13
1.306;-0.06;0.03;1.01;0.02;-0.01;-0.13
1.31;-0.06;0.03;1.01;0.02;-0.01;-0.13
1.322;-0.06;0.03;1.0;0.02;-0.01;-0.13
1.323;-0.06;0.03;1.0;0.02;0.0;-0.13
1.326;-0.06;0.03;1.0;0.02;0.0;-0.13
1.33;-0.06;0.03;1.0;0.02;0.0;-0.13
1.336;-0.06;0.03;1.0;0.02;0.0;-0.13
1.341;-0.06;0.03;1.0;0.02;0.0;-0.13
1.346;-0.06;0.03;1.0;0.02;0.0;-0.13
1.36;-0.06;0.03;1.0;0.02;0.0;-0.13
1.362;-0.06;0.03;0.99;0.02;0.0;-0.13
1.363;-0.06;0.03;0.99;0.02;-0.01;-0.13
1.374;-0.06;0.03;0.99;0.02;-0.01;-0.13
1.377;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.378;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.381;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.387;-0.06;0.02;1.0;0.01;-0.01;-0.13
1.391;-0.06;0.02;1.0;0.01;-0.01;-0.13
1.396;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.401;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.406;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.411;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.418;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.42;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.426;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.431;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.436;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.44;-0.07;0.02;1.0;0.01;-0.01;-0.13
1.446;-0.07;0.03;1.0;0.01;-0.01;-0.13
1.461;-0.07;0.03;1.0;0.01;-0.01;-0.13
1.464;-0.07;0.03;1.0;0.01;-0.01;-0.13
1.47;-0.07;0.03;1.0;0.02;-0.01;-0.13
1.472;-0.06;0.03;1.0;0.02;-0.01;-0.13
1.474;-0.06;0.03;1.0;0.02;-0.01;-0.13
1.479;-0.07;0.03;1.0;0.02;-0.01;-0.13
1.48;-0.07;0.03;1.0;0.02;-0.01;-0.13
1.488;-0.07;0.03;0.99;0.02;-0.01;-0.13
1.491;-0.07;0.03;0.99;0.01;-0.01;-0.13
1.497;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.501;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.506;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.51;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.52;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.522;-0.06;0.03;0.99;0.01;-0.01;-0.13
1.526;-0.06;0.03;1.0;0.01;-0.01;-0.13
1.531;-0.06;0.03;1.0;0.01;-0.02;-0.13
1.537;-0.07;0.03;1.0;0.01;-0.02;-0.13
1.541;-0.07;0.03;1.0;0.01;-0.02;-0.13
1.546;-0.06;0.03;1.0;0.01;-0.02;-0.13
1.554;-0.06;0.03;1.0;0.01;-0.02;-0.13
1.556;-0.06;0.03;1.0;0.01;-0.02;-0.13
